Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
CSNK1E,5,1,11,17
CSNK1G1,1780,1476,1695,1237
CSNK1G2,523,187,646,694
CSNK1G2-AS1,0,0,0,0
CSNK1G3,2507,2447,1224,1067
CSNK2A1,6607,5293,5492,3750
CSNK2A2,1244,898,1221,1018
CSNK2A3,2325,2185,1758,1347
CSNK2B,4400,2723,4222,3178
CSNKA2IP,0,0,0,0
CSPG4,20,6,124,146
CSPG4P1Y,0,0,0,0
CSPG5,64,62,86,89
CSPP1,2257,2252,1718,1314
CSRNP1,389,137,570,493
CSRNP2,969,660,787,580
CSRNP3,0,0,0,0
CSRP1,9506,4327,15635,11562
CSRP2,619,541,502,402
CSRP3,3,5,0,0
CST1,0,0,0,0
CST11,0,0,0,0
CST13P,0,0,0,0
CST2,0,0,0,0
CST3,624,199,648,525
CST4,0,0,0,0
CST5,0,0,0,0
CST6,0,0,0,0
CST7,0,0,0,0
CST8,0,0,0,0
CST9,1,0,0,0
CST9L,0,0,0,0
CSTA,92,88,18,8
CSTB,1305,925,1295,982
CSTF1,1900,1586,2138,1738
CSTF2,3532,2292,3550,2720
CSTF2T,2750,1984,2302,1638
CSTF3,4761,4901,3776,2959
CSTF3-DT,9,0,5,0
CSTL1,0,0,0,0
CT45A1,31,9,27,18
CT45A10,448,467,341,270
CT45A2,0,0,0,0
CT45A3,0,0,2,2
CT45A5,6,6,8,8
CT45A6,0,0,0,0
CT45A7,0,0,0,0
CT45A8,0,0,0,0
CT45A9,0,0,0,0
CT47A1,0,0,0,0
CT47A10,0,0,0,0
CT47A11,0,0,0,0
CT47A12,0,0,0,0
CT47A2,0,0,0,0
CT47A3,0,0,0,0
CT47A4,0,0,0,0
CT47A5,0,0,0,0
CT47A6,0,0,0,0
CT47A7,0,0,0,0
CT47A8,0,0,0,0
CT47A9,0,0,0,0
CT47B1,0,0,0,0
CT55,0,0,0,0
CT66,1,5,0,0
CT69,0,0,0,1
CT75,1,0,0,0
CT83,731,582,320,225
CTAG1A,0,0,0,0
CTAG1B,0,0,0,0
CTAG2,0,0,0,0
CTAGE1,105,205,66,51
CTAGE10P,9,12,2,0
CTAGE11P,35,45,11,5
CTAGE15,0,0,0,0
CTAGE4,0,0,0,0
CTAGE6,6,2,2,0
CTAGE7P,48,35,34,22
CTAGE8,7,2,1,1
CTAGE9,0,0,0,0
CTB-178M22.2,1,1,4,1
CTBP1,893,436,1138,943
CTBP1-AS,0,0,1,0
CTBP1-DT,342,231,279,254
CTBP2,2284,1910,2238,1952
CTBS,262,253,136,116
CTC-338M12.4,104,78,107,102
CTC1,586,346,464,482
CTCF,2942,2373,3179,2557
CTCFL,0,0,0,0
CTD-2194D22.4,0,0,0,0
CTD-2201I18.1,1,1,0,1
CTD-2297D10.2,0,0,0,0
CTD-2350J17.1,0,0,0,0
CTD-3080P12.3,0,0,0,0
CTDNEP1,822,549,897,922
CTDP1,182,75,251,189
CTDSP1,727,239,848,737
CTDSP2,3936,2600,2225,1821
CTDSPL,1212,930,1035,787
CTDSPL2,3460,3669,2730,2090
CTF1,0,0,1,1
CTH,2064,2176,239,190
CTHRC1,5,9,6,2
CTIF,453,188,444,380
CTLA4,0,0,0,0
CTNNA1,18848,13443,21947,16487
CTNNA2,3,0,0,0
CTNNA2-AS1,0,0,0,0
CTNNA3,1,0,1,0
CTNNAL1,6591,6825,5247,3580
CTNNB1,12863,9618,15856,11941
CTNNBIP1,175,74,92,55
CTNNBL1,1919,1433,1886,1354
CTNND1,254,179,270,149
CTNND2,0,0,0,0
CTNS,517,231,391,333
CTPS1,7246,6151,7711,6075
CTPS2,1163,958,1235,963
CTR9,3709,4017,2920,2013
CTRB1,0,0,0,0
CTRB2,0,0,0,0
CTRC,0,0,1,1
CTRL,16,5,33,47
CTSA,2436,1216,2387,1944
CTSB,8776,5379,3433,2896
CTSC,10699,8721,12738,9981
CTSD,1229,297,2086,1847
CTSE,0,0,0,0
CTSF,282,161,252,209
CTSG,0,0,0,0
CTSH,13,8,26,10
CTSK,30,16,24,6
CTSL,4085,3080,5187,3919
CTSL3P,1,0,0,0
CTSLP2,0,0,0,0
CTSLP8,0,0,0,0
CTSO,10,16,5,2
CTSS,1490,1307,126,67
CTSV,20,17,34,36
CTSW,2,0,0,0
CTSZ,1975,1219,2166,1606
CTTN,8666,5118,8481,6429
CTTNBP2,0,0,5,5
CTTNBP2NL,1305,1120,830,737
CTU1,25,14,49,43
CTU2,141,32,185,165
CTXN1,2,1,6,17
CTXN2,0,0,0,0
CTXN3,0,0,0,0
CTXND1,0,0,0,0
CTXND2,0,0,0,0
CUBN,24,13,1,1
CUEDC1,248,99,297,177
CUEDC2,225,74,403,321
CUL1,4885,4211,5166,3831
CUL2,3290,3317,2472,1911
CUL3,3308,3453,2951,2436
CUL4A,5744,4891,8915,6680
CUL4B,6357,6753,3570,2909
CUL5,2356,2370,1786,1371
CUL7,1167,448,1306,1198
CUL9,668,310,757,629
CUTA,2412,1330,2427,1882
CUTALP,1050,1011,526,356
CUTC,1165,1051,1148,807
CUX1,1533,1036,1143,1248
CUX2,0,1,2,0
CUZD1,0,0,0,0
CWC15,3565,3566,2826,2086
CWC22,2156,2520,1529,1162
CWC25,1084,866,810,705
CWC27,1311,1413,1050,792
CWF19L1,2530,1953,2305,1552
CWF19L2,1136,1320,1085,764
CWH43,0,0,0,0
CX3CL1,0,0,0,0
CX3CR1,0,0,0,0
CXADR,1684,1689,1162,1025
CXADRP2,0,3,0,1
CXADRP3,0,0,0,0
CXCL1,19,21,3,2
CXCL10,15,16,5,0
CXCL11,23,20,6,5
CXCL12,0,0,0,0
CXCL13,0,0,0,0
CXCL14,2,0,0,1
CXCL16,183,126,244,218
CXCL17,0,0,0,0
CXCL2,212,227,28,7
CXCL3,23,19,1,2
CXCL5,0,0,0,0
CXCL6,0,0,0,0
CXCL8,384,374,5,1
CXCL9,0,0,0,0
CXCR1,0,0,0,0
CXCR2,2,0,0,0
CXCR2P1,0,0,0,0
CXCR3,0,0,0,0
CXCR4,4170,2628,3724,2717
CXCR5,0,0,0,0
CXCR6,0,0,0,0
CXXC1,520,150,543,468
CXXC1P1,0,0,0,0
CXXC4,0,0,0,5
CXXC4-AS1,0,0,1,0
CXXC5,15,16,146,186
CXXC5-AS1,0,0,0,0
CXorf21,0,0,0,0
CXorf38,1317,966,1261,863
CXorf49,0,0,0,0
CXorf49B,0,0,0,0
CXorf51A,0,0,0,0
CXorf51B,0,0,0,0
CXorf56,1660,1392,1629,1260
CXorf58,3,5,1,2
CXorf65,0,1,0,1
CXorf66,0,0,0,0
CYB561,391,247,379,284
CYB561A3,1154,402,1693,1207
CYB561D1,269,160,202,168
CYB561D2,347,112,421,319
CYB5A,24,12,13,12
CYB5B,8523,6882,8144,6089
CYB5D1,2526,2041,2141,1581
CYB5D2,158,107,309,240
CYB5R1,1433,995,1165,830
CYB5R2,52,46,13,2
CYB5R3,666,319,855,813
CYB5R4,1889,1911,834,667
CYB5RL,355,204,285,209
CYBA,507,91,853,839
CYBB,24,27,23,8
CYBC1,377,149,497,424
CYBRD1,674,565,669,469
CYC1,5260,1411,7481,6052
CYCS,12088,12049,8970,8428
CYCSP52,0,0,0,0
CYFIP1,4753,3056,4490,3342
CYFIP2,26,8,18,14
CYGB,8,1,4,6
CYHR1,315,92,417,336
CYLC1,0,0,0,0
CYLC2,0,0,0,0
CYLD,3590,3614,1239,933
CYMP,0,0,0,0
CYMP-AS1,0,0,0,0
CYP11A1,119,47,247,184
CYP11B1,0,0,0,0
CYP11B2,0,0,0,0
CYP17A1,0,0,0,2
CYP19A1,3,1,48,62
CYP1A1,408,267,273,169
CYP1A2,0,0,0,0
CYP1B1,18078,18756,5954,5639
CYP1B1-AS1,26,25,21,23
CYP20A1,1257,1127,744,677
CYP21A1P,0,1,2,8
CYP21A2,0,1,7,1
CYP24A1,2,0,0,0
CYP26A1,0,0,1,0
CYP26B1,99,84,13,15
CYP26C1,3,0,1,3
CYP27A1,7,1,2,3
CYP27B1,18,10,36,44
CYP27C1,7,7,19,4
CYP2A13,0,0,0,0
CYP2A6,0,0,0,0
CYP2A7,0,0,0,0
CYP2B6,0,0,0,0
CYP2B7P,1,1,3,3
CYP2C18,2,7,2,5
CYP2C19,2,2,0,0
CYP2C8,0,0,1,0
CYP2C9,0,4,0,0
CYP2D6,0,0,0,0
CYP2D7,6,1,8,8
CYP2E1,12,5,5,10
CYP2F1,0,0,0,0
CYP2G1P,1,0,0,1
CYP2J2,0,0,0,0
CYP2R1,246,235,62,55
CYP2S1,25,7,43,46
CYP2T1P,0,0,2,2
CYP2U1,177,154,56,36
CYP2W1,0,0,0,0
CYP39A1,7,10,3,3
CYP3A4,1,1,0,0
CYP3A43,0,0,0,0
CYP3A5,5,7,4,1
CYP3A7,0,0,0,0
CYP3A7-CYP3A51P,0,0,0,0
CYP46A1,0,0,1,1
CYP4A11,0,0,0,0
CYP4A22,0,0,0,0
CYP4B1,0,0,0,0
CYP4F11,0,0,5,1
CYP4F12,0,0,0,0
CYP4F2,0,0,0,0
CYP4F22,0,0,0,0
CYP4F24P,0,0,0,0
CYP4F29P,0,0,0,0
CYP4F3,0,1,0,1
CYP4F30P,6,4,4,3
CYP4F35P,1,0,0,1
CYP4F62P,0,0,0,1
CYP4F8,0,0,0,0
CYP4V2,49,39,15,11
CYP4X1,214,179,64,32
CYP4Z1,0,1,0,2
CYP4Z2P,0,0,0,0
CYP51A1,9331,9652,8937,6802
CYP51A1-AS1,0,0,8,2
CYP7A1,0,1,0,0
CYP7B1,0,0,0,0
CYP8B1,0,0,0,0
CYREN,1659,948,1570,1057
CYS1,1,0,2,1
CYSLTR1,0,0,0,0
CYSLTR2,0,0,0,0
CYSRT1,8,3,7,11
CYSTM1,596,300,902,653
CYTH1,350,232,259,269
CYTH2,623,205,618,479
CYTH3,1444,988,1025,770
CYTH4,1,0,0,0
CYTIP,0,0,0,0
CYTL1,0,0,0,1
CYTOR,1210,715,741,502
CYYR1,0,0,0,0
CYYR1-AS1,1,0,0,0
CZ1P-ASNS,116,112,8,6
CZIB,689,460,745,503
D21S2088E,0,0,0,0
D2HGDH,37,13,137,107
DAAM1,1436,1351,1012,801
DAAM2,0,0,0,0
DAAM2-AS1,0,0,0,0
DAB1,0,0,1,0
DAB1-AS1,0,0,0,0
DAB2,8216,7483,5360,4265
DAB2IP,484,192,805,803
DACH1,0,0,0,0
DACH2,0,0,0,0
DACT1,1,3,1,2
DACT2,50,16,139,119
DACT3,0,0,0,0
DACT3-AS1,2,0,0,0
DAD1,3002,2120,2854,2087
DAG1,7494,3589,10316,8963
DAGLA,106,31,171,147
DAGLB,1428,598,1317,1055
DALRD3,424,174,408,317
DANCR,1615,905,1885,1499
DAND5,1,1,1,0
DANT1,0,0,0,0
DANT2,175,127,239,233
DAO,0,0,0,0
DAOA,0,0,0,0
DAOA-AS1,0,0,0,0
DAP,2390,1479,1302,1264
DAP3,6886,5466,5735,4019
DAPK1,1720,1219,1313,960
DAPK1-IT1,12,7,11,11
DAPK2,139,72,141,120
DAPK3,553,141,450,401
DAPL1,0,0,0,0
DAPP1,1,0,17,8
DARS-AS1,49,22,26,37
DARS1,6371,6190,5428,3956
DARS2,3127,2862,3315,2545
DAW1,32,44,4,4
DAXX,2661,1760,2516,1760
DAZ1,0,0,0,0
DAZ2,0,0,0,0
DAZ3,0,0,0,0
DAZ4,0,0,0,0
DAZAP1,2822,1547,2783,2206
DAZAP2,7269,6634,7733,5858
DAZL,0,0,0,0
DBET,0,0,0,0
DBF4,2247,2545,2456,1816
DBF4B,620,263,639,520
DBH,0,0,0,0
DBH-AS1,0,0,0,0
DBI,2633,2238,2820,2051
DBIL5P,20,23,17,10
DBIL5P2,6,3,5,1
DBN1,757,267,965,852
DBNDD1,24,3,35,35
DBNDD2,25,9,5,10
DBNL,1580,548,1670,1410
DBP,22,8,32,64
DBR1,1111,1048,1409,1093
DBT,1489,1390,1546,1166
DBX1,0,0,0,0
DBX2,1,0,0,0
DCAF1,3073,2730,3384,2866
DCAF10,1205,1194,657,553
DCAF11,1438,695,1514,1044
DCAF12,2676,2167,2466,1932
DCAF12L1,0,0,0,0
DCAF12L2,0,0,0,0
DCAF13,3153,2627,3293,2399
DCAF13P3,161,120,84,79
DCAF15,199,80,262,248
DCAF16,2431,2136,1950,1391
DCAF17,1255,1277,844,598
DCAF4,452,328,459,277
DCAF4L1,79,40,77,55
DCAF4L2,0,0,0,0
DCAF5,1234,846,742,646
DCAF6,3577,3267,3320,2616
DCAF7,2369,1613,2063,1746
DCAF8,4449,3191,4465,3395
DCAF8L1,0,0,0,0
DCAF8L2,0,0,0,0
DCAKD,205,123,259,185
DCANP1,0,0,0,0
DCBLD1,1634,1568,727,563
DCBLD2,1663,1513,967,649
DCC,0,0,0,0
DCD,0,0,0,0
DCDC1,6,13,2,0
DCDC2,45,44,4,3
DCDC2B,0,0,2,0
DCDC2C,0,0,0,0
DCHS1,1,0,0,1
DCHS2,0,0,0,0
DCK,867,993,597,448
DCLK1,63,51,19,19
DCLK2,159,137,84,70
DCLK3,0,0,0,0
DCLRE1A,2264,2219,1494,1107
DCLRE1B,1205,921,986,764
DCLRE1C,1540,1476,666,470
DCLRE1CP1,0,0,0,0
DCN,20,32,31,34
DCP1A,1932,1699,2462,1938
DCP1B,254,223,258,229
DCP2,5421,5563,3726,2938
DCPS,849,433,917,670
DCST1,1,2,1,7
DCST1-AS1,50,39,75,60
DCST2,3,6,7,7
DCSTAMP,0,0,0,0
DCT,2,6,3,2
DCTD,2009,1418,1885,1263
DCTN1,4116,1784,4336,3266
DCTN1-AS1,1,0,0,0
DCTN2,3542,2357,2817,2112
DCTN3,702,412,639,528
DCTN4,4150,3611,3509,2697
DCTN5,3205,2744,3776,2863
DCTN6,1767,1533,1364,1099
DCTPP1,670,304,1250,963
DCUN1D1,3280,3615,2652,2397
DCUN1D2,639,439,569,542
DCUN1D3,520,481,427,285
DCUN1D4,2110,2196,1393,1228
DCUN1D5,2434,2420,1760,1530
DCX,0,0,0,0
DCXR,190,52,392,326
DCXR-DT,0,0,0,0
DDA1,453,200,579,453
DDAH1,4129,4051,2014,1602
DDAH2,176,78,133,105
DDB1,22061,13771,21643,15307
DDB2,1773,1006,938,752
DDC,8,5,5,3
DDC-AS1,0,1,0,0
DDHD1,1682,1711,1083,996
DDHD2,1872,1929,1217,902
DDI1,0,1,0,0
DDI2,3685,3419,3585,2887
DDIAS,1974,2035,1516,1138
DDIT3,5199,3353,513,385
DDIT4,11391,6076,8133,6944
DDIT4L,0,0,0,0
DDN,22,10,78,69
DDN-AS1,2,3,4,5
DDO,26,14,11,5
DDOST,4653,2353,5017,3710
DDR1,325,102,1275,1117
DDR2,16427,15608,3066,2460
DDRGK1,717,285,1116,906
DDT,1722,1120,1472,1018
DDTL,68,38,93,52
DDX1,8871,9336,7841,6119
DDX10,2372,2487,2132,1569
DDX11,2355,1209,2704,2075
DDX11-AS1,74,62,38,32
DDX11L1,0,0,0,0
DDX11L10,0,0,0,0
DDX11L16,0,0,0,0
DDX11L2,9,4,3,13
DDX11L5,0,0,0,0
DDX11L9,0,0,0,0
DDX12P,384,154,549,454
DDX17,15968,14277,16403,12218
DDX18,8593,8278,8895,6485
DDX19A,1976,1272,3137,2204
DDX19B,664,440,651,520
DDX20,3305,3195,2950,2147
DDX21,33897,36087,30098,21718
DDX23,8106,4453,10785,7691
DDX24,4889,3424,6594,4844
DDX25,0,0,0,0
DDX27,4347,3178,4139,3023
DDX28,329,169,483,387
DDX31,2133,1389,2158,1705
DDX39A,2466,1026,3136,2395
DDX39B,0,0,0,0
DDX39B-AS1,11,4,6,9
DDX3X,43897,43542,40004,30072
DDX3Y,0,7,0,0
DDX4,0,0,0,2
DDX41,1334,598,1538,1219
DDX42,3958,3211,3064,2342
DDX43,0,0,0,1
DDX46,8419,9243,7036,4892
DDX47,3677,3110,4923,3397
DDX49,1016,344,1457,1169
DDX5,16839,16742,18499,13932
DDX50,3004,2927,1757,1252
DDX51,498,270,683,559
DDX52,4390,4287,3900,2917
DDX53,0,2,0,0
DDX54,1296,508,2175,1901
DDX55,1875,1874,2073,1441
DDX56,3979,2004,4116,3092
DDX58,658,659,130,82
DDX59,1161,979,1125,913
DDX59-AS1,0,1,1,5
DDX6,7597,7384,6092,4967
DDX60,463,468,187,168
DDX60L,544,579,265,185
DEAF1,357,67,550,441
DECR1,455,404,525,342
DECR2,67,27,182,163
DEDD,607,418,725,536
DEDD2,198,96,381,338
DEF6,1,0,0,3
DEF8,416,220,828,617
DEFA1,0,0,0,0
DEFA10P,0,0,0,0
DEFA11P,0,0,0,0
DEFA1B,0,0,0,0
DEFA3,0,0,0,0
DEFA4,0,0,0,0
DEFA5,0,0,0,0
DEFA6,0,0,0,0
DEFA8P,0,0,0,0
DEFA9P,0,0,0,0
DEFB1,9,4,53,39
DEFB103A,0,0,0,0
DEFB103B,0,0,0,0
DEFB104A,0,0,0,0
DEFB104B,0,0,0,0
DEFB105A,0,0,0,0
DEFB105B,0,0,0,0
DEFB106A,0,0,0,0
DEFB106B,0,0,0,0
DEFB107A,0,0,0,0
DEFB107B,0,0,0,0
DEFB108B,0,0,0,0
DEFB109A,0,0,0,0
DEFB109B,0,0,0,0
DEFB110,0,0,0,0
DEFB112,0,0,0,0
DEFB113,0,0,0,0
DEFB114,0,0,0,0
DEFB115,0,0,0,0
DEFB116,0,0,0,0
DEFB118,0,0,0,0
DEFB119,0,0,0,0
DEFB121,0,0,0,0
DEFB122,0,0,0,0
DEFB123,0,0,0,0
DEFB124,0,0,0,0
DEFB125,0,0,0,0
DEFB126,0,0,0,0
DEFB127,0,0,0,0
DEFB128,0,0,0,0
DEFB129,0,0,0,0
DEFB130A,0,0,0,0
DEFB130B,0,0,0,0
DEFB131A,0,0,0,0
DEFB131B,0,0,0,0
DEFB132,0,0,0,0
DEFB133,0,0,0,0
DEFB134,0,0,0,0
DEFB135,0,0,0,0
DEFB136,0,0,0,0
DEFB4A,0,0,0,0
DEFB4B,0,0,0,0
DEFT1P,0,0,0,0
DEFT1P2,0,0,0,0
DEGS1,2124,2133,2951,2142
DEGS2,0,0,1,0
DEK,20981,23595,14011,11084
DELE1,1632,893,1573,1236
DELEC1,17,14,0,1
DENND10,546,645,416,326
DENND10P1,249,229,248,140
DENND11,864,871,1087,837
DENND1A,1086,837,955,866
DENND1B,756,815,480,431
DENND1C,1,0,0,0
DENND2A,15,4,0,0
DENND2B,311,178,371,344
DENND2C,171,172,104,89
DENND2D,21,12,33,25
DENND3,639,315,814,664
DENND4A,2325,2262,1736,1259
DENND4B,1247,525,1235,1150
DENND4C,2509,2298,2154,1617
DENND5A,7748,5165,4547,3257
DENND5B,3557,3143,3617,2943
DENND5B-AS1,9,5,7,4
DENND6A,1773,1789,1130,1061
DENND6A-DT,2,4,4,2
DENND6B,1,0,2,2
DENR,5777,6084,3516,2810
DEPDC1,5625,6393,4526,3327
DEPDC1-AS1,19,21,16,14
DEPDC1B,1779,1591,1197,857
DEPDC4,39,42,29,27
DEPDC5,597,435,677,476
DEPDC7,428,351,597,504
DEPP1,3,1,0,1
DEPTOR,251,200,447,300
DERA,1393,1164,1277,971
DERL1,5581,5080,4274,3236
DERL2,1877,1702,1275,944
DERL3,49,13,74,57
DERPC,2,1,0,1
DES,3,1,3,5
DESI1,3255,2076,3355,2626
DESI2,3503,3268,1997,1526
DET1,269,206,161,178
DEUP1,0,0,0,0
DEXI,90,60,278,220
DFFA,5390,3756,3960,2831
DFFB,180,116,263,194
DGAT1,248,117,451,310
DGAT2,572,333,86,64
DGAT2L6,0,0,0,0
DGCR10,0,0,0,0
DGCR11,264,160,199,160
DGCR2,973,360,1162,928
DGCR5,11,4,4,6
DGCR6,0,0,0,0
DGCR6L,145,9,291,228
DGCR8,2089,1201,1719,1399
DGCR9,1,0,1,2
DGKA,12,4,15,7
DGKB,2,1,1,4
DGKD,1445,757,1780,1488
DGKE,933,948,724,597
DGKG,0,0,0,0
DGKH,3148,3119,1695,1518
DGKI,7,4,2,4
DGKK,0,0,0,0
DGKQ,38,16,47,50
DGKZ,329,96,326,307
DGLUCY,617,299,420,338
DGUOK,899,778,1057,749
DGUOK-AS1,41,29,18,12
DHCR24,9253,5680,14954,11550
DHCR7,2960,1104,4704,3529
DHDDS,1087,727,943,722
DHDDS-AS1,8,4,4,3
DHDH,2,1,3,1
DHFR,1898,1702,1306,974
DHFR2,51,48,80,55
DHFRP3,0,0,0,0
DHH,0,0,1,2
DHODH,293,148,670,523
DHPS,604,211,654,506
DHRS1,106,46,131,78
DHRS11,95,24,148,106
DHRS12,41,23,4,11
DHRS13,197,113,209,186
DHRS2,141,96,9,9
DHRS3,153,40,98,76
DHRS4,241,122,382,302
DHRS4-AS1,119,114,269,196
DHRS4L1,4,3,3,13
DHRS4L2,2,0,7,1
DHRS7,924,824,502,420
DHRS7B,530,274,401,342
DHRS7C,0,0,0,0
DHRS9,1,0,5,0
DHRSX,430,241,431,347
DHTKD1,1800,1486,1900,1400
DHX15,11313,10803,11789,8564
DHX16,3750,1903,3642,2763
DHX29,2633,2634,2552,1866
DHX30,2826,1225,4624,3665
DHX32,2380,2076,1739,1386
DHX33,2190,1565,2098,2211
DHX33-DT,1,0,0,0
DHX34,1079,558,1483,1254
DHX35,1236,892,1188,912
DHX36,5053,5307,3799,3680
DHX37,1013,377,1449,1211
DHX38,1953,873,2981,2269
DHX40,2483,2356,1826,1370
DHX57,1772,1674,1932,1415
DHX58,39,14,32,31
DHX8,4861,3150,4547,3386
DHX9,23147,19740,28660,20266
DIABLO,1156,917,1312,950
DIAPH1,7506,6432,8025,7245
DIAPH1-AS1,0,0,0,0
DIAPH2,4852,5069,3022,2433
DIAPH2-AS1,0,0,0,0
DIAPH3,5636,5774,3199,2574
DIAPH3-AS1,0,0,0,0
DIAPH3-AS2,0,0,0,0
DICER1,5490,5314,4653,3820
DICER1-AS1,14,18,21,18
DIDO1,3849,2421,3900,3434
DIMT1,1678,1522,1599,1271
DINOL,3,0,0,0
DIO1,0,0,0,0
DIO2,2773,2797,2324,1786
DIO2-AS1,0,0,2,0
DIO3,3,0,6,2
DIO3OS,4,1,3,3
DIP2A,732,426,665,526
DIP2A-IT1,14,12,6,10
DIP2B,12445,10068,8840,6510
DIP2C,7,1,4,7
DIPK1A,247,221,183,169
DIPK1B,20,12,39,29
DIPK1C,0,0,0,0
DIPK2A,652,740,849,882
DIPK2B,0,0,0,0
DIRAS1,33,10,9,17
DIRAS2,0,0,0,0
DIRAS3,0,4,1,1
DIRC1,0,0,0,0
DIRC3,9,1,8,0
DIRC3-AS1,17,8,0,0
DIS3,4242,4352,4748,3539
DIS3L,1248,1083,2023,1547
DIS3L2,478,407,556,505
DISC1,17,23,2,0
DISC1-IT1,9,11,3,2
DISC1FP1,47,53,0,0
DISC2,0,0,0,0
DISP1,170,130,145,110
DISP2,13,4,10,6
DISP3,6,2,5,2
DIXDC1,312,327,654,530
DKC1,12275,10989,10721,7582
DKFZP434A062,1,0,0,1
DKFZP434H168,0,0,0,0
DKFZP586I1420,398,378,262,251
DKFZp434L192,0,0,0,0
DKFZp451B082,0,0,0,0
DKK1,1892,2112,1340,1060
DKK2,0,0,0,0
DKK3,56,75,35,39
DKK4,0,0,0,0
DKKL1,2,0,3,0
DLAT,2794,2661,3084,2565
DLC1,1,1,2,3
DLD,4006,4389,3291,2496
DLEC1,0,0,0,0
DLEU1,391,443,714,516
DLEU1-AS1,0,0,0,0
DLEU2,1044,1121,752,807
DLEU2L,31,19,18,18
DLEU7,0,0,0,0
DLEU7-AS1,0,0,0,0
DLG1,6443,6278,4080,3118
DLG1-AS1,17,9,3,9
DLG2,61,44,48,39
DLG3,451,312,1112,851
DLG3-AS1,0,0,2,5
DLG4,79,37,110,83
DLG5,1687,839,2853,2815
DLG5-AS1,19,9,16,12
DLGAP1,0,0,1,3
DLGAP1-AS1,240,165,187,156
DLGAP1-AS2,189,142,76,79
DLGAP1-AS3,0,0,0,0
DLGAP1-AS4,0,0,0,0
DLGAP1-AS5,0,0,0,0
DLGAP2,0,0,0,0
DLGAP2-AS1,0,0,0,0
DLGAP3,0,0,0,0
DLGAP4,438,161,272,370
DLGAP4-AS1,2,3,2,2
DLGAP5,5141,5443,4830,3476
DLK1,0,0,0,0
DLK2,31,10,39,18
DLL1,11,8,37,35
DLL3,96,43,114,74
DLL4,4,2,13,8
DLST,2541,1581,2016,1498
DLSTP1,176,157,145,121
DLX1,58,33,81,82
DLX2,13,12,22,20
DLX2-DT,1,0,3,1
DLX3,0,1,0,1
DLX4,11,9,7,5
DLX5,0,0,0,0
DLX6,0,0,0,0
DLX6-AS1,0,0,0,0
DM1-AS,3,1,4,4
DMAC1,1578,1055,1348,1070
DMAC2,581,280,740,546
DMAC2L,424,394,367,327
DMAP1,452,205,570,418
DMBT1,461,260,15,4
DMBT1P1,0,0,0,0
DMBX1,9,2,8,4
DMC1,8,13,15,7
DMD,2984,2641,3228,2676
DMGDH,3,2,2,1
DMKN,1246,695,1144,896
DMP1,0,0,0,0
DMPK,182,53,327,392
DMRT1,2,0,1,2
DMRT2,0,0,0,0
DMRT3,0,0,0,0
DMRTA1,226,267,74,46
DMRTA2,0,0,1,0
DMRTB1,0,0,0,0
DMRTC1,0,0,0,0
DMRTC1B,0,0,0,0
DMRTC2,0,0,0,0
DMTF1,3670,3465,2229,1618
DMTN,35,31,36,32
DMWD,426,149,466,395
DMXL1,4512,4141,2206,1828
DMXL2,3093,2747,2017,1598
DNA2,736,776,971,741
DNAAF1,1,1,8,1
DNAAF2,791,770,842,620
DNAAF3,95,41,134,90
DNAAF4,14,24,5,9
DNAAF4-CCPG1,0,1,0,0
DNAAF5,847,552,868,740
DNAH1,390,132,224,208
DNAH10,9,11,1,2
DNAH11,604,528,275,227
DNAH12,13,8,7,10
DNAH14,763,689,558,422
DNAH17,91,44,28,34
DNAH17-AS1,15,6,22,17
DNAH2,25,9,5,1
DNAH3,10,8,1,1
DNAH5,1537,1339,110,91
DNAH6,2,6,5,4
DNAH7,38,42,15,11
DNAH8,0,0,0,1
DNAH8-AS1,0,0,0,0
DNAH9,1,0,0,0
DNAI1,0,0,0,0
DNAI2,0,0,0,0
DNAJA1,9601,9548,14159,10424
DNAJA1P5,0,0,0,0
DNAJA2,2927,2720,4587,3322
DNAJA3,2318,1217,3662,2821
DNAJA4,0,0,3,1
DNAJB1,1575,1067,4286,3092
DNAJB11,4772,4648,4019,3158
DNAJB12,1581,869,1711,1362
DNAJB13,7,9,10,5
DNAJB14,1662,2077,998,841
DNAJB2,674,253,317,283
DNAJB3,0,0,0,0
DNAJB4,1140,1283,1702,1246
DNAJB5,100,41,81,57
DNAJB5-DT,0,1,1,1
DNAJB6,2389,2384,1580,1165
DNAJB7,0,0,0,0
DNAJB8,0,0,0,0
DNAJB8-AS1,0,0,0,0
DNAJB9,1001,1061,255,273
DNAJC1,1736,1503,809,642
DNAJC10,9750,10224,6502,5216
DNAJC11,3078,1862,3365,2412
DNAJC12,74,39,388,334
DNAJC13,8754,8697,6487,4964
DNAJC14,4362,2832,4405,3028
DNAJC15,1136,1155,812,581
DNAJC16,1442,1263,1022,832
DNAJC17,441,205,391,328
DNAJC18,294,271,188,133
DNAJC19,905,1024,736,609
DNAJC2,3570,4018,3560,2736
DNAJC21,4590,4797,3629,2688
DNAJC22,115,84,394,250
DNAJC24,959,944,736,629
DNAJC25,907,1032,758,587
DNAJC25-GNG10,2,1,0,0
DNAJC27,239,247,157,129
DNAJC27-AS1,6,0,1,2
DNAJC28,8,10,3,3
DNAJC3,3401,3115,2790,2057
DNAJC3-DT,63,71,77,54
DNAJC30,243,225,297,189
